Country,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
Afghanistan,58.19087336,7.671,-10,17.56274695,29.51428577,13500,0,2.679386285,0,28.35535173,2338.335943,0,146.2928571,13.21197502,0.892824482,27.448,0,0,12.893,0,5.225978688,-14.67929691,34.5282402,3.475407713,91.66666667
Albania,41.88564477,6.071,-9,18.86336079,71.5,7690,1154.008464,54.30811764,1.334567619,40.2454334,4803.168409,0,50.50714286,41.82338964,6.606670493,54.876,95.93863978,98.83120696,44.153,530.4848333,13.35086973,-21.38207261,12.34991932,0.532496904,374
Algeria,17.52979614,7.648,-5.916666667,29.99009356,29.18571445,15790,1705.202014,76.23031739,1.500884466,29.36568613,7347.024556,32.67,82.31333333,12.51712539,3.826979825,42.678,0,0,3.838,241.4186742,45.25581817,1.320798101,18.18716621,3.022832724,3894
AmericanSamoa,20.83333333,0,0,0,0,180,0,0,0,0,13799.49386,0,0,0,0,0,0,0,98.116,0,0,0,0,1.900174557,0
Andorra,44.5035461,0,0,0,0,160,17383.86258,1433.020707,17.06003868,0,49618.60246,0,4.05,7.372056412,27.23584776,0,0,0,15.485,0,0,0,12.65543461,0.542072112,513.3333333
Angola,46.06761851,6.98,-4.111111111,70.32448792,78.4857145,597280,376.8935259,41.61213011,0,54.82159221,10561.83082,44.74,129.53,1022.529697,1.292659027,29.804,0,0,3.446,73.49641636,0,15.15239734,68.28264618,4.462704179,311.6666667
Anguilla,0,0,0,0,0,0,0,0,0,0,11038.55257,0,0,0,0,0,95.40709812,99.11373708,59.758,0,0,0,0,0,45.22222222
AntiguaandBarbuda,27.65151515,4.496,0,70.07670997,0,100,9070.635111,301.9265977,0.092391158,80.7752112,7661.639427,0,13.55,6.759186766,27.15930476,58.284,0,0,112.91,0,0,-12.33741425,7.480210304,-1.391479857,329.7179487
Argentina,47.61655503,3.157,-9,10.68503864,47.97142846,318610,6958.908595,337.4737866,7.926679473,9.101638481,17733.94516,35.285,65,139.0733577,10.26658765,62.32,93.91285971,96.88254343,6.425,428.3138045,14.19743288,1.346400958,11.4181445,1.086154641,36127.66667
Armenia,49.51544944,4.492,-9,26.24359333,83.11428506,3040,806.6710134,23.76120382,2.45954213,50.74939783,4217.465954,35.22,38.55,119.8649039,3.126012874,62.602,0,0,47.648,547.3746067,15.65908219,-24.5058045,11.5320797,-2.191428816,3864.666667
Aruba,11.11111111,5.695,0,120.5732437,0,4,18178.42694,0,0,141.8482294,8195.001555,0,0,4.323309122,18.8528014,60.01,97.29125212,99.02641305,216.478,0,0,-21.27498559,0,-1.268615595,1821.111111
Australia,60.62209017,3.181,10,15.94591555,64.35714286,1549200,16225.38986,1771.000618,11.54388566,16.33323316,30118.78691,0,24.2,5.43018143,30.88848317,69.12,0,0,1.112,1890.414982,23.76498065,-0.75664864,24.82943,0.96517495,60250.66667
Austria,43.405094,2.061,10,36.1454919,67.47142791,38380,16874.17662,2659.737802,11.17628571,35.02288522,18411.22948,23.04538597,52,3.325248576,33.70645887,66.8,0,0,82.633,1210.258098,19.89441673,0.100567224,21.36402677,-0.161369129,22091.66667
Azerbaijan,56.05581337,5.505,-9,53.86519494,82.9714301,9360,1026.579299,16.80687682,2.479389862,48.94115273,4322.023901,0,56.75,228.0577871,5.862177514,57.754,0,0,35.158,1296.938435,15.85377533,4.92404222,9.489263606,0.502875099,40742.53333
Bahamas,1.148851149,4.021,0,52.45768241,77.18571472,5150,17525.72536,584.4697647,2.269428499,53.37738698,14695.80152,0,22.62307692,3.250227379,15.82173767,59.824,0,0,5.867,0,14.7260195,-0.902307169,22.00443649,1.500453764,77
Bahrain,11.73385793,6.973,-9.2,95.81428769,33.87142863,4.6,11552.4509,420.1869333,1.501811775,83.86824126,19734.16953,0,47.1,4.753171471,20.10141682,42.459,0,0,172.287,4649.399854,4.903385928,11.94604643,12.43672228,1.803286579,1287
Bangladesh,74.41102661,6.331,0.3,9.303097598,62.38571385,14680,305.4721453,32.84658365,0.168514829,16.13655084,1368.488343,24.91,225.4,2.796790376,0.923358586,43.376,0,0,279.223,23.39367556,8.464810448,-6.780100341,17.75008774,2.738682722,19525
Barbados,44.18604651,4.429,0,57.89487383,81.92857143,80,7216.042595,453.2519704,15.73404533,62.9221698,7164.528737,0,145,5.046145965,30.16578564,56.95,0,0,510.667,0,33.15248161,-6.117288839,12.862216,-1.499674503,88
Belarus,45.20675219,2.595,-9,60.73419489,91.52857099,82730,1537.911394,118.1910966,3.036504492,64.71436011,4831.544286,21.71,11.91111111,271.396524,8.362749461,65.692,0,0,37.143,530.6711478,19.91854176,-3.980165217,18.07446678,-0.420694163,64387.4
Belgium,45.75077058,2.327,10,62.15177981,64.01428604,6670,16396.01095,2324.149193,8.88487011,58.98831615,16686.21025,28.06096746,45,3.580381171,30.22596694,68,0,0,285.316,1396.271327,26.12881195,1.26322664,19.39300917,0.113153613,83541.33333
Belize,5.016074821,6.66,0,55.63628576,35.0714283,14890,2176.019598,90.45181153,0.02113616,64.0117827,3515.530436,0,34.16,3.384964741,5.755797533,55.644,0,0,3.191,0,19.74076545,-8.350743901,42.74856186,0.906903102,25.66666667
Benin,21.36970409,5.829,-1,13.78378887,55.69999967,50610,308.0195342,11.0225693,0.081484321,26.36124548,2125.5044,0,202.9,4.542101583,0.814870479,33.467,27.24525033,39.87661252,20.107,17.63368122,16.79890514,-13.16667777,25.50226974,3.757238985,1037.666667
Bermuda,18.33333333,0,0,26.34129685,0,10,41631.64715,0,0,36.13927456,33933.59479,0,0,6.819757294,51.02341563,0,0,0,724.981,0,0,-9.797977707,0,-0.735297431,106.3333333
Bhutan,10.55059835,6.67,-10,28.62328052,30.34285736,31410,630.9907071,43.99881312,0.125439808,52.33781577,1394.793827,0,105.7230769,6.378843728,3.369309548,29.331,0,0,3.836,0,7.950942685,-20.87231055,17.9458847,3.002660274,184.0666667
