Country,Year,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
Afghanistan,1952,58.19087336250001,7.671,-10.0,17.562746948,29.51428576857143,13500.0,0.0,2.679386285,0.0,28.355351731571428,2338.335943,0.0,146.29285714285714,13.211975018,0.8928244820000001,27.448,0.0,0.0,12.892999999999999,0.0,5.2259786880000005,-14.679296914428571,34.5282402,3.475407713,91.66666667
Albania,1952,41.88564476916667,6.071000000000001,-9.0,18.86336079125,71.5,7690.0,1154.008464375,54.308117644999996,1.3345676185,40.2454334,4803.168409000001,0.0,50.50714285714286,41.823389635285714,6.60667049325,54.876000000000005,95.93863978,98.83120696,44.153,530.48483326,13.350869729500001,-21.38207261,12.34991932,0.5324969039999999,374.0
Algeria,1952,17.5297961425,7.648,-5.916666666666667,29.990093561666658,29.185714448571424,15790.0,1705.2020144615385,76.23031738750001,1.5008844656,29.365686133846154,7347.024556,32.67,82.31333333333332,12.517125390333334,3.826979825,42.678000000000004,0.0,0.0,3.838,241.41867424899996,45.25581817,1.3207981008461545,18.18716621,3.0228327239999997,3894.0
AmericanSamoa,1952,20.833333333333332,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,13799.493859999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.116,0.0,0.0,0.0,0.0,1.900174557,0.0
Andorra,1952,44.50354609916668,0.0,0.0,0.0,0.0,160.0,17383.862581999998,1433.0207070000001,17.060038676666668,0.0,49618.60246,0.0,4.05,7.372056411700001,27.23584775575,0.0,0.0,0.0,15.485,0.0,0.0,0.0,12.65543461,0.542072112,513.333333325
Angola,1952,46.06761851166667,6.98,-4.111111111111111,70.32448791833333,78.48571450285714,597280.0,376.89352585,41.61213011,0.0,54.821592215,10561.830820000001,44.74,129.53,1022.5296971121666,1.2926590272499998,29.804000000000002,0.0,0.0,3.446,73.496416355,0.0,15.152397338833334,68.28264618,4.462704179,311.6666667
Anguilla,1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11038.55257,0.0,0.0,0.0,0.0,0.0,95.40709812,99.11373708,59.758,0.0,0.0,0.0,0.0,0.0,45.222222223333326
AntiguaandBarbuda,1952,27.65151515333333,4.496,0.0,70.07670997000001,0.0,100.0,9070.635111250002,301.92659767500004,0.092391158,80.7752112025,7661.639426999999,0.0,13.550000000000002,6.759186766125,27.1593047585,58.284,0.0,0.0,112.91,0.0,0.0,-12.337414251875,7.480210304,-1.391479857,329.71794871846157
Argentina,1952,47.61655503416667,3.157,-9.0,10.685038636583334,47.97142846142857,318610.0,6958.908594692307,337.473786625,7.9266794734,9.101638480846153,17733.94516,35.285,65.0,139.0733576866667,10.2665876508,62.32,93.91285971,96.88254343,6.425,428.31380448,14.19743288,1.3464009580769232,11.4181445,1.086154641,36127.66667
Armenia,1952,49.515449436,4.492,-9.0,26.243593334000003,83.11428506000001,3040.0,806.67101336,23.761203815000002,2.459542130333333,50.749397832,4217.465954,35.22,38.55,119.86490387620002,3.12601287375,62.602,0.0,0.0,47.648,547.37460672,15.65908219,-24.5058045,11.532079699999999,-2.1914288159999997,3864.6666668
Aruba,1952,11.111111109999998,5.695,0.0,120.57324374999999,0.0,4.0,18178.4269425,0.0,0.0,141.84822935000003,8195.001554999999,0.0,0.0,4.323309121666667,18.85280140325,60.01,97.29125212,99.02641305,216.47799999999998,0.0,0.0,-21.27498559,0.0,-1.268615595,1821.1111110499999
Australia,1952,60.62209017333333,3.181,10.0,15.94591555,64.35714285714286,1549200.0,16225.389864,1771.000618,11.543885663833334,16.333233160769232,30118.786910000003,0.0,24.2,5.430181430166667,30.888483170249998,69.12,0.0,0.0,1.112,1890.4149820923076,23.76498065,-0.7566486403846154,24.82943,0.96517495,60250.666670000006
Austria,1952,43.40509399666667,2.061,10.0,36.1454918975,67.47142791428571,38380.0,16874.176623307696,2659.73780225,11.176285708,35.02288521923077,18411.22948,23.04538597,52.0,3.325248575916667,33.7064588688,66.8,0.0,0.0,82.633,1210.2580980000002,19.894416725,0.10056722407692302,21.36402676923077,-0.161369129,22091.66667
Azerbaijan,1952,56.055813365999995,5.505,-9.0,53.86519494400001,82.97143009714286,9360.0,1026.57929864,16.8068768175,2.479389862,48.941152726,4322.023901,0.0,56.749999999999986,228.05778705859998,5.8621775136666665,57.754,0.0,0.0,35.158,1296.9384349333334,15.85377533,4.9240422196,9.489263605800001,0.5028750989999999,40742.533334
Bahamas,1952,1.1488511489999997,4.021,0.0,52.457682411428564,77.18571472285714,5150.0,17525.725355384617,584.469764725,2.2694284990000004,53.377386982857146,14695.801519999999,0.0,22.623076923076926,3.250227379083333,15.8217376745,59.824,0.0,0.0,5.867000000000001,0.0,14.726019503999998,-0.9023071687142857,22.00443649,1.500453764,77.0
Bahrain,1952,11.733857925500002,6.973,-9.2,95.81428769375,33.871428627142855,4.6,11552.450899,420.18693329999996,1.5018117753333333,83.86824126374998,19734.169530000003,0.0,47.10000000000001,4.753171471285715,20.101416818750003,42.458999999999996,0.0,0.0,172.287,4649.399854285714,4.9033859275,11.94604643075,12.43672228,1.8032865790000001,1287.0
Bangladesh,1952,74.41102660666667,6.331,0.3,9.303097598,62.38571385,14680.0,305.4721453384615,32.84658365,0.16851482875,16.13655083530769,1368.488343,24.91,225.4,2.796790376416667,0.9233585856666666,43.376000000000005,0.0,0.0,279.223,23.3936755635,8.464810448000001,-6.780100340615385,17.75008774,2.738682722,19525.0000011
Barbados,1952,44.18604650999999,4.428999999999999,0.0,57.894873826666675,81.92857142571428,80.0,7216.042595307692,453.25197042499997,15.734045331799999,62.922169802307685,7164.528737000001,0.0,145.0,5.0461459646666675,30.16578564225,56.95,0.0,0.0,510.667,0.0,33.15248161,-6.1172888386153845,12.862216,-1.499674503,88.0
Belarus,1952,45.20675219,2.595,-9.0,60.73419488799999,91.52857099142857,82730.0,1537.9113942400002,118.1910965525,3.0365044923333335,64.714360106,4831.544286,21.71,11.911111111111111,271.39652400600005,8.362749461333333,65.692,0.0,0.0,37.143,530.6711478,19.918541756,-3.9801652168000006,18.0744667825,-0.42069416299999995,64387.4
Belgium,1952,45.75077058333333,2.327,10.0,62.15177980666667,64.01428604,6670.0,16396.01095053846,2324.14919275,8.884870109666666,58.98831615076923,16686.21025,28.06096746,45.0,3.580381170666668,30.2259669424,68.0,0.0,0.0,285.316,1396.2713274615385,26.1288119525,1.263226639769231,19.393009166666666,0.11315361300000001,83541.33333
Belize,1952,5.016074820916667,6.66,0.0,55.636285762499995,35.07142829857143,14890.0,2176.019598030769,90.45181153,0.0211361604,64.01178270375,3515.530436,0.0,34.160000000000004,3.3849647406666663,5.755797533,55.644,0.0,0.0,3.1910000000000003,0.0,19.740765449999998,-8.350743901375001,42.74856186,0.906903102,25.66666667
Benin,1952,21.369704090833334,5.829,-1.0,13.783788865083332,55.69999967142858,50610.0,308.01953419230773,11.0225692975,0.0814843205,26.361245477692304,2125.5044,0.0,202.9,4.5421015825,0.8148704790000001,33.467,27.24525033,39.87661252,20.107,17.633681223399996,16.798905140000002,-13.166677771384617,25.50226974,3.757238985,1037.6666667153845
Bermuda,1952,18.333333333333332,0.0,0.0,26.34129685,0.0,10.0,41631.64714923077,0.0,0.0,36.13927456,33933.594789999996,0.0,0.0,6.819757293833334,51.0234156325,0.0,0.0,0.0,724.9810000000001,0.0,0.0,-9.797977707000001,0.0,-0.7352974309999999,106.33333329999999
Bhutan,1952,10.550598347333333,6.67,-10.0,28.6232805225,30.34285736142857,31410.0,630.9907071375,43.998813117500006,0.125439808,52.33781577285715,1394.793827,0.0,105.72307692307693,6.378843728428571,3.369309547666667,29.331,0.0,0.0,3.8360000000000003,0.0,7.9509426852,-20.872310554285715,17.945884699999997,3.0026602739999997,184.06666666639998
